_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
19644,2.02E+11,Gennaro's Pizza,1417,Carson Street,Pittsburgh,PA,15203,South Shore,211,Restaurant without Liquor,1,3/2/2015,3/2/2015,,0,,,1,1,-79.98352792,40.42897965,1417 Carson Street PA 15203
33619,2.02E+11,Pelegrino's Pizza & Pasta,3275,Babcock  Boulevard,Pittsburgh,PA,15237,Allegheney West,211,Restaurant without Liquor,1,6/15/2022,6/15/2022,,30,,,1,1,-80.01862056,40.53031979,3275  Babcock  Boulevard PA 15237
1529,10504,Sir Pizza,320,Sewickley Oakmont Road,Pittsburgh,PA,15237,South Shore,202,Chain Restaurant with Liquor,1,6/17/1984,6/17/1984,,88,,,1,1,-80.04972441,40.53826086,320 Sewickley Oakmont Road PA 15237
3187,8730,Pizza Roma,8360,Perry Highway,Pittsburgh,PA,15237,South Shore,202,Chain Restaurant with Liquor,1,6/17/1984,6/17/1984,,110,,,1,1,-80.03967644,40.55893672,8360 Perry  Highway PA 15237
14587,2.01E+11,Maisie's Pizza,1130,Perry Highway,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,6/2/2008,6/2/2008,,0,,,1,1,-80.03558315,40.54794586,1130 Perry Highway PA 15237
14828,2.00E+11,Adrian's Pizza Express,7824,Perry Highway,Pittsburgh,PA,15237,Allegheny Center,212,Chain Restaurant without Liquor,1,4/22/2004,4/22/2004,,0,,,1,1,-80.037198,40.55140313,7824 Perry Highway PA 15237
37060,2.02E+11,Pizza Forever,5439,Babcock Boulevard,Pittsburgh,PA,15237,Allegheny Center,211,Restaurant without Liquor,1,2/15/2023,2/15/2023,,0,,,1,1,-80.02887256,40.54305739,5439 Babcock Boulevard PA 15237
19020,2.01E+11,Vocelli Pizza #19,1130,Perry Highway,Pittsburgh,PA,15237,Allegheny West,212,Chain Restaurant without Liquor,1,4/9/2014,4/9/2014,,28,,,1,1,-80.03558315,40.54794586,1130 Perry Highway PA 15237
19631,2.02E+11,Papa John's Pizza #440,3336,Babcock Boulevard,Pittsburgh,PA,15237,Allegheny West,212,Chain Restaurant without Liquor,1,6/14/2017,6/14/2017,,0,,,1,1,-80.01888238,40.53435408,3336 Babcock Boulevard PA 15237
19915,2.02E+11,Pizza Hut #033983,2150,Brownsville Road,Pittsburgh,PA,15210,Allentown,212,Chain Restaurant without Liquor,1,9/5/2017,9/5/2017,,0,,,1,1,-79.98720158,40.39211109,2150 Brownsville Road PA 15210
2403,6116,Beto's Pizza,1473,Banksville Road,Pittsburgh,PA,15216,Banksville,211,Restaurant without Liquor,1,1/1/1989,1/1/1989,,54,,,1,1,-80.03034832,40.41273512,1473 Banksville Road PA 15216
8420,44488,Bado's Pizza Food Truck Catering Commissary,307,Beverly  Road,Pittsburgh,PA,15216,Banksville,120,Commissary,0,4/6/1989,4/6/1989,,0,,2000,1,1,-80.04972516,40.38849194,307 Beverly  Road PA 15216
21347,2.02E+11,Bado's Pizza Truck (ZKX7639) MFF4,307,Beverly  Road,Pittsburgh,PA,15216,Banksville,123,Mobile - Tier II ( Prepared Foods),1,12/20/2017,12/20/2017,,,,1,1,1,-80.04972516,40.38849194,307 Beverly  Road PA 15216
